第0类：
		暴雨	0.05102085428234162
		地下	0.03499030880659876
		西瓜	0.02770369722671563
		水塘	0.018959763330855882
		车库	0.017502441014879258
		老爷车	0.016045118698902634
		黄石	0.01458779638292601
		河马	0.01458779638292601
		动物园	0.013130474066949387
		水泵	0.013130474066949387
第1类：
		放射	0.032515495578296104
		雕塑	0.03027382059875139
		新疆	0.02803214561920667
		古丈县	0.026911308129434312
		航班	0.025790470639661955
		训练	0.01906544570102781
		引擎	0.01906544570102781
		机票	0.01794460821125545
		游园	0.01794460821125545
		航空	0.01682377072148309
第2类：
		酒厂	0.060952914244305725
		代金券	0.03460201913733757
		村委会	0.03295508819315206
		脚手架	0.03130815724896655
		酒精	0.02142657158385349
		金陵镇	0.016485778751296955
		东东	0.014838847807111446
		老先生	0.014838847807111446
		精义	0.009898054974554916
		连队	0.009898054974554916
第3类：
		尹国芳	0.03550680911984287
		教育局	0.030774145458417633
		雪豹	0.030774145458417633
		卢丽	0.027224647712348702
		人群	0.022491984050923463
		北川	0.022491984050923463
		英国	0.01657615447414191
		土墙	0.01657615447414191
		卢晓兵	0.015392988558785597
		卢丽的	0.014209822643429288
第4类：
		记者	0.018090802628362018
		医院	0.008805593390850444
		孩子	0.008661636658485924
		人员	0.0060224298984697154
		公司	0.005878473166105195
		工作	0.005806494799922935
		现场	0.005230667870464853
		警方	0.005038725560645492
		男子	0.004990739983190651
		电话	0.004798797673371291
